job title,company name,location,description,links,date
Inspection Conformity Engineer,Al Futtaim GroupDubai · UAE,Dubai · UAE,"The Inspection Conformity Engineer is responsible for overseeing the conformity assessment process, ensuring that products and services…",https://www.bayt.com/en/uae/jobs/inspection-conformity-engineer-5213526/,30 days ago
"Senior Maintenance Engineer (UAE National), Reliability Maintenance Engineering",Al Futtaim Group,Dubai · UAE,DESCRIPTION The Facilities Coordinator will have a significant impact on customer experience. He/She will have the ability to lead…,https://www.bayt.com/en/uae/jobs/senior-maintenance-engineer-uae-national-reliability-maintenance-engineering-5213523/,30 days ago
MEP Project Engineer,RTC1 Recruitment ServicesDubai · UAE,Dubai · UAE,"Project Engineer plays a crucial role in the successful execution of interior design, fit-out, and joinery projects. This position…",https://www.bayt.com/en/uae/jobs/mep-project-engineer-5213437/,30 days ago
Service Engineer,RTC1 Recruitment Services,Dubai · UAE,"Plan and coordinate the routine maintenance of plant, equipment and machinery and be in contact with customers to solve and conduct breakdowns , works ahead...",https://www.bayt.com/en/uae/jobs/service-engineer-5217256/,18 days ago
Electrical Engineer,Confidential CompanyDubai · UAE,Dubai · UAE,We are looking for a professional and competent Electrical Engineer to join our company as a Site Engineer / Projects Engineer reporting…,https://www.bayt.com/en/uae/jobs/electrical-engineer-5210206/,21 days ago
Civil Engineer,Confidential Company,Dubai · UAE,"Design and Planning : · Lead the design and development of civil engineering projects, ensuring compliance with safety, environmental,…",https://www.bayt.com/en/uae/jobs/civil-engineer-5216287/,22 days ago
Quantity Surveyor (Interior Fit-out and Joinery),Amazon MENADubai · UAE,Dubai · UAE,"Our client, one of the top interior fit-out companies involved in Hospitality, Commercial spaces, and Villa fit-outs in the Middle…",https://www.bayt.com/en/uae/jobs/quantity-surveyor-interior-fit-out-and-joinery-5215803/,23 days ago
Civil Engineer (Emiratisation),Amazon MENA,Dubai · UAE,"As a graduate civil engineer you will assist in the planning, design, and execution of civil engineering projects. Client Details…",https://www.bayt.com/en/uae/jobs/civil-engineer-emiratisation-5215626/,23 days ago
Civil Engineer,Confidential CompanyDubai · UAE,Dubai · UAE,"Plan, schedule and execute Project Plan. Visit the construction site to assess practical challenges and study relevant reports for…",https://www.bayt.com/en/uae/jobs/civil-engineer-5214153/,28 days ago
Civil Engineer,Confidential Company,Dubai · UAE,Position Title: Civil Engineer Employment Type: Full Time Salary: up to 25K AED…,https://www.bayt.com/en/uae/jobs/civil-engineer-5214313/,28 days ago
Civil Engineer,redcraneDubai · UAE,Dubai · UAE,Oversee construction progress from start to finish (ground up and/or renovations). Handle processing of documents to local authorities…,https://www.bayt.com/en/uae/jobs/civil-engineer-5214257/,28 days ago
Architect,redcrane,Dubai · UAE,"Are you ready to shape the skyline of Dubai? Join a forward-thinking contracting firm renowned for delivering cutting-edge residential,…",https://www.bayt.com/en/uae/jobs/architect-5213801/,29 days ago
Quantity Surveyor,Emirates Sun Contracting Co LLCDubai · UAE,Dubai · UAE,"Responsibilities: Prepare detailed cost estimates and manage project budgets throughout the lifecycle, advising on cost-efficient…",https://www.bayt.com/en/uae/jobs/quantity-surveyor-5213644/,30 days ago
"BBS and detailing engineer, Downstream solutions",Emirates Sun Contracting Co LLC,Dubai · UAE,"RELOCATION TO INDIA REQUIRED!!! Job Description: BBS and Detailing Engineer, Downstream solutions Organisational Profile 1. Position…",https://www.bayt.com/en/uae/jobs/bbs-and-detailing-engineer-downstream-solutions-5212620/,30+ days ago
Application Deployment / Release Management Engineer,Alpha Tech Building Contracting LLCDubai · UAE,Dubai · UAE,We are seeking an experienced Senior Web/Java Application Deployment Engineer to join our team remotely for a prestigious banking…,https://www.bayt.com/en/uae/jobs/application-deployment-release-management-engineer-5211615/,30+ days ago
Alteration Engineer,Alpha Tech Building Contracting LLC,Dubai · UAE,Roles & Responsibilities Create and modify detailed alteration plans and drawings for villas using AutoCAD. Obtain necessary permits…,https://www.bayt.com/en/uae/jobs/alteration-engineer-5210469/,30+ days ago
Engineer for Approval of Construction Materials in UAE Municipalities,GEW LLCDubai · UAE,Dubai · UAE,The UAE-based company is looking for an Engineer with Experience in Approving Construction Materials in UAE Municipalities. Employment…,https://www.bayt.com/en/uae/jobs/engineer-for-approval-of-construction-materials-in-uae-municipalities-5209129/,30+ days ago
ClickHouse Developer/Data Engineer,GEW LLC,Dubai · UAE,The ClickHouse Developer/Data Engineer role is ideal for someone with strong backend development skills and a deep understanding of…,https://www.bayt.com/en/uae/jobs/clickhouse-developer-data-engineer-5208758/,30+ days ago
Service Engineer,Michael PageDubai · UAE,Dubai · UAE,"Service Engineer Location: Dubai, United Arab Emirates Salary: Market related Our client is a global freezer manufacturer with facilities…",https://www.bayt.com/en/uae/jobs/service-engineer-5204729/,30+ days ago
